identifier,05_CP_PA_-Fe/+Fe__MEAN,05_CP_PA_-Fe/+Fe__STD,01_WC_PH_-Fe/+Fe__MEAN,01_WC_PH_-Fe/+Fe__STD,06_PA/PH__MEAN,06_PA/PH__STD,02_WC_PA_-Fe/+Fe__MEAN,02_WC_PA_-Fe/+Fe__STD,03_WC_PA/PH__MEAN,03_WC_PA/PH__STD,04_CP_PH_-Fe/+Fe__MEAN,04_CP_PH_-Fe/+Fe__STD
"Cre07.g315800.t1.1|PACid:19859071",0.432417743483,0.424512288926,0.60122102917,0.472712856891,-0.103433944133,0.0438241835078,1.13969953521,0.371152457859,0.284114919673,0.395946992215,1.15042167021,0.0153398327386
"Cre06.g299650.t1.1|PACid:19863307",0.789628961684,1.33544946906,-1.41663830722,1.68715449207,-0.37439875243,0.274611319827,0.32596104233,0.895864658588,-0.445256477459,0.479284197917,0.459482991637,0.408122539521
"Cre20.g760750.t1.1|PACid:19864462",-0.485625372063,0.151121777868,0.631260504308,0.293887352908,0.087580978231,0.139047613386,-0.549007304736,0.213027105321,0.677635595577,0.0712576353995,0.798228200296,0.305778883666
"NCBI|BK000554.2|DAA00966.1|28269788|TPA_inf: TPA_exp: photosystem II 44 kDa reaction center protein [Chlamydomonas reinhardtii].",-0.617531578707,0.816523161446,-0.943202326057,0.279613830019,-0.532346398655,0.134719954149,-1.04469468229,0.514596459033,-0.489130120006,0.245060304549,-0.837040495958,0.195676688751
"Cre06.g273700.t1.1|PACid:19863765",-0.501891119403,0.186555146679,-0.34149247724,0.137624277692,-0.268099168609,0.0888881023063,-0.728578450461,0.080903722556,-0.458183688322,0.217765607781,-0.476737701184,0.101900265251
"Cre06.g259450.t1.1|PACid:19863167",-1.18859889381,0.0213054225714,0.0608453292936,0.534713640064,0.588487456286,0.184611359505,-0.00250984453783,0.0349284602019,-0.679258776094,0.083371456705,-0.590880275823,0.321620019542
"Cre17.g721700.t1.1|PACid:19866910",-0.0576297549948,0.80961210659,-0.529452949536,0.001,-0.379890398979,0.156196985935,0.212715922923,0.001,-2.00912209477,0.0153257878122,-1.12504135747,0.122140785452
"Cre02.g077550.t1.1|PACid:19868353",-0.264376119447,0.10772008868,0.312736846702,0.001,-1.34293504539,0.461346491317,-0.416038472726,0.001,-0.623446770263,0.131822585494,0.687974238488,0.0532237058081
"Cre06.g250200.t1.1|PACid:19863149",-0.433468607539,0.382987145802,-0.533205652295,0.185198625172,-1.38572708975,0.0110490954453,-0.088675834606,0.398088160571,-0.785182885255,0.278078736293,0.0962784202035,0.53809275055
"Cre06.g278750.t1.1|PACid:19863270",-0.449744181452,0.114719962301,0.0376155738717,0.236235462524,0.139747223416,0.0830610374492,-0.949090479169,0.143641029467,0.052622696441,0.314218722674,0.195336499898,0.253921758601
"Cre19.g751700.t1.1|PACid:19862111",-0.875900963821,0.395382514339,-2.86105746245,0.803512475725,-1.05563374326,0.245204122436,-0.994402447569,0.058864994793,-1.75759962596,1.57468877618,-1.86506263404,0.001
"Cre03.g160500.t1.1|PACid:19871784",-0.0776214470492,0.443849227311,-0.793148691366,0.26795424798,-0.632625305099,0.001,-0.504626078722,0.183916551333,-0.62843997992,0.139848521843,0.709224469859,0.750738310257
"Cre43.g787650.t1.1|PACid:19864801",0.713260167726,0.001,-0.701357432185,0.153666689769,-0.68514856509,0.643788469955,-0.312625753662,0.001,-0.196335104243,0.430634430192,0.590533549198,0.336071416249
